id,title,score,scored_by,rank,popularity,members,favorites,genres
4150,Shinkyoku Soukai Polyphonica Crimson S,7.1,9283,4043,4868,25500,41,"Drama, Fantasy, Romance"
4151,Viper's Creed,6.68,4408,6328,6711,11378,17,"Action, Sci-Fi"
4152,Senjou no Valkyria,7.55,56380,1821,1875,136448,617,"Action, Romance"
4153,Wakusei Robo Danguard Ace: Uchuu Daikaisen,5.56,289,12459,14462,1129,0,Sci-Fi
4154,Onegai My Melody Sukkiri♪,6.95,1020,4779,9806,4311,13,"Comedy, Fantasy"
4155,Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,7.29,19933,2967,3970,39707,35,"Action, Comedy, Romance"
4156,Juuninin no Onna Kyoushi,5.64,798,,11437,2660,2,Hentai
4157,07-Ghost,7.18,107265,3586,1242,219877,2117,"Action, Fantasy"
4158,Pokemon: Pikachu no Natsuyasumi,6.83,21543,5362,4103,37006,19,"Comedy, Fantasy"
4159,Pokemon: Odoru Pokemon Himitsu Kichi,6.46,6135,7582,6170,13882,1,"Comedy, Fantasy"
4160,Pandora Hearts,7.64,180298,1543,573,449036,5286,"Adventure, Fantasy, Mystery"
4161,Hai! Akko desu,6.67,534,6327,13510,1438,3,Romance
4162,Tottoi,6.12,421,9640,13781,1335,3,"Adventure, Drama"
4163,Tegamibachi: Hikari to Ao no Gensou Yawa,7.42,6922,2378,5957,15235,11,"Adventure, Fantasy"
4164,Blassreiter: Navi,6.23,1345,8990,9662,4497,1,"Drama, Sci-Fi"
4165,Datenshi-tachi no Kyouen,4.73,468,,13304,1519,3,Hentai
4166,The Satisfaction,4.53,304,,14948,993,1,Hentai
4167,Telepathist IQ Psycho,4.74,367,,14224,1191,1,Hentai
4168,Under World,4.88,216,,15330,895,1,Hentai
4169,Suashi no Houkago,4.66,597,,12604,1889,3,"Girls Love, Hentai"
4170,Heisei Jogakuen Kagai Lesson,4.66,475,,13171,1588,2,Hentai
4171,Ecchi de Happy! Pin! Pin! Pin!,4.91,280,,14461,1129,2,Hentai
4172,Kateikyoushi Bishounen Kari,4.41,358,,13822,1323,0,Hentai
4173,69 Pink Riders,4.56,569,,12517,1948,4,Hentai
4174,Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle,5.25,1816,13374,9890,4187,1,"Action, Comedy, Girls Love, Ecchi"
4175,Fujun Isei Kouyuu: Taisetsu na Kimi e,5.39,450,,12881,1726,0,Hentai
4176,Shirouto Club: Hamedori Anime Kanzen Mushuusei!!,4.65,270,,15202,928,0,Hentai
4177,Rebiya,4.8,301,,14933,996,0,Hentai
4178,Love Forever,5.29,297,,14225,1192,0,Hentai
4179,Eguchi Hisashi no Nantoka Narudesho!,4.64,1068,14188,10921,3080,5,"Comedy, Horror, Supernatural"
4180,Suishou no Yoru: Aoi Kokuhaku yori,5.07,290,,14280,1179,2,Hentai
4181,Moonlight Sonata,5.08,330,,14055,1250,1,Hentai
4182,Kugutsu Ai: Doura Gaiden,5.18,284,,14506,1115,0,Hentai
4183,Auction: Bijo Dorei,5.26,587,,12044,2243,7,Hentai
4184,Nijuusou: Wana ni Ochita Onna-tachi,5.28,248,,14755,1048,1,Hentai
4185,Aoi Kokuhaku,4.63,377,,13586,1414,0,Hentai
4186,Yayoi,4.68,546,,13242,1550,1,Hentai
4187,Chounouryoku Shoujo Barabanba,4.38,444,,13286,1527,1,Hentai
4188,Age Man to Fuku Chin,4.73,422,,13192,1576,2,Hentai
4189,Spiral Over,5.34,349,,13785,1336,0,Hentai
4190,Harenchi Koumon Manyuuki,5.27,486,,12981,1675,1,Hentai
4191,Shachiku: Kuruma no Naka de Kattemasu,5.07,256,,14780,1041,0,Hentai
4192,"Rinkan Gakuen: Yamete! ...Okaasan, Minaide!",5.34,1217,,10231,3781,7,Hentai
4193,Tsui no Sora,2.34,3992,,8146,7024,35,Hentai
4194,Binetsu Hime: Zange no Shou,4.94,372,,13732,1354,2,Hentai
4195,Shining May,4.96,390,,14210,1195,2,Hentai
4196,You Bishoujo Miruku-chan,4.89,480,,13356,1499,2,Hentai
4197,Rhythm: Koi no Rhythm,4.93,337,,14206,1196,2,Hentai
4198,Karakara-sama no Himitsu,5.24,345,,14195,1200,1,Hentai
4199,Shimai Ningyou,5.41,852,,11628,2512,0,Hentai
4200,Aoyama Goushou Tanpenshuu,7.27,3204,3106,8166,6993,8,"Adventure, Comedy, Mystery"
4201,"Kaitei Daisensou: Ai no 20,000 Miles",5.22,283,13456,15249,912,2,"Action, Adventure"
4202,Sonic: Night of the WereHog,6.58,6270,6867,7100,9952,33,Action
4203,New Dream Hunter Rem: Setsuriku no Mudenmekyu,6.18,1642,9262,10541,3438,2,Action
4204,New Dream Hunter Rem: Yume no Kishi-tachi,6.23,1831,8992,9857,4242,5,"Action, Ecchi"
4205,Aoi Yousei,5,375,,13603,1404,0,Hentai
4206,Shin Reyon Densetsu: Mou Hitori no Flair,5.19,362,,13987,1269,1,Hentai
4207,Ko Ko Ro,5.14,299,,14378,1154,1,Hentai
4208,Offside Girl,3.93,845,,11466,2637,5,"Sports, Hentai"
4209,Itoshi no Kotodama,5.47,502,,12983,1671,1,Hentai
4210,Dogs: Bullets & Carnage,7.27,29608,3113,3065,63581,254,"Action, Drama, Sci-Fi"
4211,Fuusen no Doratarou,,,21464,18006,500,0,
4212,Natsu no Arashi!,7.22,15116,3402,3230,57506,88,"Comedy, Romance, Supernatural"
4213,Little El Cid no Bouken,6.29,282,8593,14967,988,0,Adventure
4214,Navia Dratp,4.75,286,14086,16036,743,0,Fantasy
4215,Shin Ringetsu,6.43,1791,,9307,5031,9,"Drama, Supernatural, Hentai"
4216,Concerto,5.13,507,,12735,1805,1,Hentai
4217,Ryoujoku Joshi Gakuen,5.34,378,,13095,1618,1,Hentai
4218,Love Machine: Animaid Shoufu 23-gou,5.27,313,,13937,1289,2,Hentai
4219,Onna Kyoushi: Nikutai Jugyou,5.38,545,,12652,1862,2,Hentai
4220,Emi to Yobanaide,5.11,614,,12785,1778,2,Hentai
4221,Rasen Kairou,5.35,348,,13162,1589,4,Hentai
4222,Ayatsuri Ningyou,4.75,377,,13205,1567,1,Hentai
4223,Terra Story,5.42,347,,13696,1371,0,Hentai
4224,Ningyou no Yakata,5.48,767,,11599,2537,1,Hentai
4225,Shikkaku Ishi,5.35,365,,13356,1501,2,Hentai
4226,Dokonjou Gaeru,6.5,806,7349,11676,2481,8,Comedy
4227,Uchuu Enban Dai-Sensou,5.63,762,12162,12487,1968,0,Romance
4228,Violence Gekiga David no Hoshi,4.73,282,,14564,1100,0,Hentai
4229,The Chocolate Panic Picture Show,4.32,1837,14338,10038,4023,3,"Avant Garde, Comedy"
4230,Biohazard 4D-Executer,5.38,2765,13049,9172,5240,2,"Action, Adventure, Horror"
4231,21 Emon,6.15,709,9430,13146,1600,1,"Comedy, Sci-Fi"
4232,Choujuu Kishin Dancougar: Hakunetsu no Shuushou,5.82,745,11250,12639,1872,2,Sci-Fi
4233,Higashi no Eden,7.73,264114,1275,415,590367,4276,"Award Winning, Mystery, Romance, Sci-Fi, Suspense"
4234,Kaumori,5.32,925,13180,12754,1794,2,Drama
4235,Nihonichi Momotarou,5.36,978,13109,12732,1807,1,Fantasy
4236,Restol: Teugsu Gujo Dae,5.92,246,10716,14438,1135,1,Adventure
4237,Tabidachi: Ami Shuushou,5.31,755,13233,12363,2051,3,"Drama, Romance"
4238,Kimi no Na wo Yobeba,6.3,2049,,8886,5713,20,Hentai
4239,"Sora no Iro, Mizu no Iro Ero Specials",6.63,1333,,9896,4186,4,Hentai
4240,Castle Fantasia: Seima Taisen,5.51,626,,11709,2465,0,Hentai
4241,Deep Voice,5.31,603,,12345,2061,0,Hentai
4242,Doukyuusei 2 Special: Sotsugyousei,5.1,660,13677,11976,2279,2,Ecchi
4243,Bouken Shite mo Ii Koro,5.51,574,12615,12165,2162,2,"Comedy, Romance, Ecchi"
4244,Injuu Onna Kyoushi,5.4,557,,12492,1966,3,Hentai
4245,Helter Skelter: Hakudaku no Mura,6.66,3412,,7246,9435,71,Hentai
4246,Glass no Kantai: La Legende du Vent de l'Univers Specials,6.12,599,9616,12646,1865,3,"Adventure, Sci-Fi"
4247,Mahou Shoujo Ai San: The Anime,6.19,1406,,9829,4283,12,"Supernatural, Hentai"
4248,PuriGorota: Uchuu no Yuujou Daibouken,5,1770,13823,10406,3557,0,"Adventure, Sci-Fi"
4249,Great Mazinger,7.05,2903,4283,8066,7203,26,Sci-Fi
4250,Umi no Momotarou,4.65,916,14180,12752,1797,0,
4251,Suteneko Tora-chan,5.73,999,11718,12486,1968,0,
4252,G.T.R G-cup Teacher Rei,4.86,336,,13190,1579,1,Hentai
4253,Keibiin,5.54,468,,13124,1605,2,Hentai
4254,Shin Ruri-iro no Yuki,5.45,340,,13737,1355,1,Hentai
4255,To LOVE-Ru OVA,7.24,104402,3269,1462,184281,287,"Comedy, Romance, Sci-Fi, Ecchi"
4256,GA: Geijutsuka Art Design Class,7.12,7534,3930,5160,22185,91,Slice of Life
4257,Saki,7.45,39490,2240,2353,98794,841,Slice of Life
4258,Apfelland Monogatari,5.99,1146,10327,11032,2983,2,"Adventure, Drama"
4259,Ashita no Yukinojou,5.55,905,,10762,3220,1,"Sports, Hentai"
4260,Basquash!,7.18,18930,3625,3513,49440,187,"Sci-Fi, Sports"
4261,Kobato.,7.94,63974,792,1528,175648,1585,"Drama, Romance, Supernatural"
4262,K-On!,7.87,602448,928,153,1111742,25244,Comedy
4263,Summer Wars,8.01,304820,691,452,544362,4096,"Award Winning, Comedy, Sci-Fi"
4264,Phantom: Requiem for the Phantom,7.91,130247,847,756,352611,4581,"Action, Drama, Suspense"
4265,Fresh Precure!,7.39,7680,2522,5457,19234,173,"Action, Comedy"
4266,Himekishi Angelica,6.23,1855,,8956,5591,12,"Fantasy, Hentai"
4267,Doura,4.74,337,,13761,1346,0,Hentai
4268,Gegege no Kitarou (1968),6.77,1714,5694,8714,5998,24,"Comedy, Horror, Supernatural"
4269,Eien no Filena,5.57,753,12405,12134,2180,0,"Adventure, Drama, Fantasy"
4270,Nodame Cantabile Finale,8.22,71690,392,1912,132635,417,"Comedy, Romance"
4271,Rekka no Honoo: Final Burning,6.98,2768,4607,7895,7591,8,"Action, Adventure, Sci-Fi"
4272,"Shinran-sama: Negai, Soshite Hikari",6.02,128,10171,17610,535,0,
4273,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,7.06,15239,4264,3803,43326,142,"Action, Fantasy, Romance"
4274,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,7.28,2097,3044,9430,4838,8,Comedy
4275,Tanoshii Muumin Ikka Bouken Nikki,7.5,3335,2060,7849,7698,22,"Adventure, Fantasy, Slice of Life"
4276,Minami-ke Betsubara,7.48,15899,2115,4502,30530,10,Comedy
4277,Arcade Gamer Fubuki: Kabe no Mukou no Paradise,4.69,1216,14145,11057,2958,4,"Action, Adventure, Comedy, Ecchi"
4278,Kiniro no Corda: Secondo Passo,7.1,18694,4076,4246,34623,59,Romance
4279,Sex Pistols,6.51,16256,,4431,31422,81,"Boys Love, Comedy, Drama, Supernatural, Erotica"
4280,Kidou Senshi Gundam: Uchuu Seiki Yowa,6.05,1080,10001,10204,3820,0,Sci-Fi
4281,Kodai Ouja Kyouryuu King: Yokuryuu Densetsu,6.59,6977,6805,6469,12398,38,"Action, Adventure, Sci-Fi"
4282,Okusama wa Joshikousei,4.88,574,,11690,2473,3,Hentai
4283,Tayutama: Kiss on My Deity,6.7,31004,6097,2828,73334,127,"Romance, Supernatural"
4284,Saimin Ryoujoku Gakuen,6.49,2119,,8045,7257,16,Hentai
4285,Tennis no Oujisama: Another Story - Kako to Mirai no Message,7.57,7452,1774,5787,16415,22,Sports
4286,Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,7.28,3470,3066,7952,7488,11,Action
4287,Aoki Ryuusei SPT Layzner OVA,6.73,1174,5921,11200,2845,5,Sci-Fi
4288,Dororo to Hyakkimaru,7.27,6820,3080,4909,24961,115,"Action, Adventure, Fantasy"
4289,15 Bishoujo Hyouryuuki,6.76,10655,,4815,26142,165,"Comedy, Hentai"
4290,Uchuu Kuubo Blue Noah,6.48,694,7490,11441,2657,4,"Action, Drama, Sci-Fi"
4291,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,7.22,52382,3367,2377,97027,117,"Comedy, Fantasy, Ecchi"
4292,Akaneiro ni Somaru Saka: Hardcore,6.37,22362,8134,3881,41620,32,"Comedy, Romance, Ecchi"
4293,69 Pink Riders 2,4.63,482,,12992,1666,2,Hentai
4294,Seitokaichou ni Chuukoku,6.9,26248,,3492,50103,110,"Boys Love, Comedy, Drama, Erotica"
4295,Isekai no Seikishi Monogatari,7.71,87015,1333,1274,213223,1878,"Comedy, Fantasy, Ecchi"
4296,Koisuru Tenshi Angelique: Chibi Character Adventure,5.81,264,11342,14771,1044,0,"Adventure, Comedy"
4297,Ai no Kusabi (2012),6.53,15981,,4184,35607,121,"Boys Love, Drama, Sci-Fi, Erotica"
4298,G-9,5.68,1533,11932,10782,3204,1,Fantasy
4299,Kaede New Town,4.84,494,13998,14808,1031,0,"Comedy, Romance"
4300,Fantascope: Tylostoma,6.8,1589,5522,8859,5781,26,Fantasy
4301,Kupu~!! Mamegoma!,,,18163,14252,1186,4,
4302,Sakuran Boy DT,,,14711,15585,837,2,Comedy
4303,Nezumi no Rusuban,4.45,827,14304,13536,1429,0,Action
4304,Doubutsu Sumo Taikai,4.68,796,14152,13439,1464,0,Sports
4305,Urashima Tarou (1931),4.55,1473,14254,11575,2558,1,Action
4306,Dankichi-jima no Olympic Taikai,4.25,942,14361,13001,1662,0,Sports
4307,Tori no Uta (OVA),6.4,1934,7967,8579,6203,16,Fantasy
4308,Zenmai Zamurai,5.87,241,10989,15612,829,2,Comedy
4309,Oira no Yakyuu,5.35,1278,13119,11915,2320,0,Sports
4310,Kishin Douji Zenki Gaiden: Anki Kitan,6.44,977,7726,11532,2588,1,"Action, Supernatural"
4311,Blocker Gundan IV Machine Blaster,5.81,659,11327,12979,1674,0,Sci-Fi
4312,Tsurupika Hagemaru-kun,7.01,2328,4501,10290,3692,26,Comedy
4313,Tiger Mask Nisei,7.31,3462,2867,7989,7403,26,"Drama, Sports"
4314,Tondemo Senshi Muteking,6.24,614,8944,13048,1640,2,"Action, Comedy, Sci-Fi"
4315,Kyojin no Hoshi,6.93,893,4860,10242,3758,9,"Drama, Sports"
4316,Hanasakeru Seishounen,7.68,27224,1413,2844,72698,615,"Drama, Romance"
4317,Furudera no Obake-soudou,5.08,699,13716,13972,1277,0,"Action, Adventure"
4318,Yume wo Kanaeru Zou,,,17067,16291,701,0,Comedy
4319,Kotatsu Neko,5.77,808,11522,13475,1450,1,Comedy
4320,Pokemon: Pikachu no Obake Carnival,6.29,2941,8657,7903,7585,2,"Adventure, Comedy, Fantasy"
4321,Pokemon: Pikachu no Natsumatsuri,6.28,3488,8698,7590,8424,2,"Action, Comedy, Fantasy"
4322,Cinnamon the Movie,6.67,1433,6281,10221,3793,25,Fantasy
4323,Zettai Karen Children: Oobanburumai! Natsuko to Hotaru no B.A.B.E.L. Tsuushin,6.38,884,8089,10851,3148,0,"Action, Comedy"
4324,Shin Chou Kyou Ryo: Condor Hero III,7.2,958,3463,10823,3169,4,"Action, Adventure, Drama, Romance"
4325,Kiddy GiRL-AND Pilot,6.6,1719,6742,9178,5233,6,"Action, Sci-Fi"
4326,Fumoon,5.93,1053,10674,12395,2029,3,Sci-Fi
4327,Nanaka 6/17 Special,6.53,927,7130,11995,2272,0,"Comedy, Drama, Romance"
4328,Haru no Uta,4.56,1036,14251,12701,1828,1,
4329,Chou no Sainan,5.31,795,13211,13539,1428,0,Action
4330,Hibari no Yadogae,4.72,795,14118,13202,1571,0,Action
4331,Norakuro Nitouhei: Kyouren no Maki,4.95,677,13873,13553,1424,0,"Action, Adventure"
4332,Doubutsu Mura no Sports Day,5.04,689,13763,13942,1287,2,Sports
4333,Tarou-san no Kisha,5.36,1097,13099,12175,2155,2,Action
4334,Sankou to Tako: Hyakumanryou Chinsoudou,5.07,464,13731,15296,902,0,Action
4335,Kobutori (1929),5.89,2159,10889,10194,3838,5,"Comedy, Supernatural"
4336,Izumo,5.64,676,12135,12698,1830,1,"Adventure, Fantasy"
4337,Abunai Sisters: Koko & Mika,2.56,5164,14496,7677,8157,39,"Action, Comedy, Ecchi"
4338,Love Position: Halley Densetsu,5.61,915,12263,12198,2141,2,"Fantasy, Sci-Fi"
4339,Oshiruko,5.07,805,13732,13639,1391,0,Comedy
4340,Examurai Sengoku,6.2,925,9165,9408,4869,7,"Action, Sci-Fi"
4341,Kujira no Josephina,6.1,198,9705,15496,858,3,"Adventure, Fantasy"
4342,Long Dao Qi Yuan,5.54,375,12494,14838,1022,1,"Action, Fantasy"
4343,Inko,5.66,2140,,8830,5832,4,Hentai
4344,Kousoku Denjin Albegus,6.78,964,5634,11447,2652,4,
4345,Tistou Midori no Oyayubi,6.49,252,7403,14186,1203,2,
4346,Jean Valjean Monogatari,6.14,301,9528,13873,1307,0,Drama
4347,Hyakujitsu no Bara,6.47,18877,,4210,35272,87,"Boys Love, Drama, Erotica"
4348,B.B. Fish,4.45,1570,14306,10383,3600,3,"Drama, Romance"
4349,Mujigen Hunter Fandora,5.63,1481,12165,9998,4065,0,"Adventure, Fantasy, Sci-Fi"
4350,Chinpui,6.38,1212,8095,11829,2383,6,Comedy
4351,Seitokai no Ichizon,7.3,85593,2932,1328,205164,733,Comedy
4352,Kanamemo,6.82,16148,5407,3858,42147,77,"Comedy, Girls Love, Ecchi"
4353,Donguri no Ie,6.6,167,6705,16409,684,2,"Award Winning, Drama"
4354,Tsuru ni Notte: Tomoko no Bouken,6.27,403,8771,14313,1170,1,Drama
4355,Deimos no Hanayome: Ran no Kumikyoku,5.72,3046,11757,7805,7798,23,"Drama, Horror, Mystery, Supernatural"
4356,Xanadu Dragonslayer Densetsu,5.37,1012,13065,11625,2516,2,"Adventure, Comedy, Fantasy"
4357,Utsunomiko,5.74,504,11661,12966,1680,2,"Adventure, Fantasy"
4358,Tenjouhen: Utsunomiko,5.85,356,11120,13464,1453,1,"Adventure, Fantasy"
4359,Utsunomiko: Heaven Chapter,6.06,536,9993,12820,1759,3,"Adventure, Fantasy"
4360,Koushoku Ichidai Otoko,6.06,1303,,9709,4442,9,"Drama, Hentai"
4361,Neko Hiki no Oruorane,6.33,1402,8361,10679,3284,8,Fantasy
4362,Antique Heart,5.44,952,12824,12117,2198,0,Mystery
4363,Hoshi Neko Fullhouse,5.9,807,10861,12241,2116,3,"Comedy, Romance, Sci-Fi"
4364,Kigyou Senshi Yamazaki: Long Distance Call,5.87,895,10974,12274,2099,0,"Drama, Sci-Fi"
4365,Hi no Ame ga Furu,7.14,437,3823,12357,2054,3,Drama
4366,Hayou no Tsurugi: Shikkoku no Mashou,5.35,293,13139,14311,1171,0,Fantasy
4367,Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken,5.18,386,13527,14078,1244,3,"Adventure, Comedy, Fantasy"
4368,Shiroi Kiba White Fang Monogatari,6.33,496,8378,13431,1467,0,"Adventure, Drama"
4369,Greed,4.82,898,14026,12618,1886,1,"Adventure, Fantasy"
4370,Animation Kikou: Marco Polo no Bouken,6.15,544,9432,12973,1676,5,Adventure
4371,Hashire! Shiroi Ookami,6.16,787,9428,12470,1985,1,"Award Winning, Drama"
4372,Onegai♪My Melody Kirara★,6.52,577,7214,10881,3109,7,"Comedy, Fantasy"
4373,Seiken no Blacksmith,6.63,89471,6563,1383,195670,238,"Action, Adventure, Fantasy"
4374,Cross Game,8.36,53289,248,1925,131592,3077,"Drama, Romance, Sports"
4375,The Aurora: Umi no Aurora,5.28,163,13294,15919,762,1,"Adventure, Sci-Fi"
4376,Element Hunters,6.59,4106,6792,6118,14174,21,Sci-Fi
4377,Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume,7.19,13847,3535,4477,30759,17,Comedy
4378,Mahou no Princess Minky Momo: Yume wo Dakishimete,6.88,1763,5094,9422,4847,9,
4379,Toaru Majutsu no Index-tan,6.9,26687,4986,3302,55248,38,Comedy
4380,High School! Kimengumi (Movie),6.1,657,9749,13426,1470,0,"Comedy, Romance"
4381,Nyoro-n Churuya-san,6.48,17662,7465,4425,31503,46,Comedy
4382,Sora no Otoshimono,7.22,255621,3377,501,501608,3962,"Comedy, Romance, Sci-Fi, Supernatural, Ecchi"
4383,Mizugi Kanojo The Animation,7.27,7857,,5225,21468,189,Hentai
4384,Metal Fight Beyblade,6.94,66886,4809,2283,102896,503,"Adventure, Comedy, Sports"
4385,Kinnikuman II Sei: Ultimate Muscle,6.94,4365,4790,7415,8917,11,"Comedy, Sci-Fi, Sports"
4386,Kinnikuman II Sei: Ultimate Muscle 2,6.97,3827,4661,7770,7895,5,"Comedy, Sci-Fi, Sports"
4387,Fight Ippatsu! Juuden-chan!!,6.59,15389,6794,4036,38475,71,"Comedy, Sci-Fi, Ecchi"
4388,Kannagi: Moshimo Kannagi ga Attara...,7.04,19115,4366,4214,35213,10,"Comedy, Supernatural"
4389,Higepiyo,7.05,2722,4284,8480,6400,16,Comedy
4390,Ristorante Paradiso,7.29,14663,2958,3491,50158,186,"Drama, Gourmet, Romance"
4391,Tengai Makyou: Ziria Oboro-hen,6.03,177,10152,16325,695,0,"Adventure, Fantasy"
4392,Marin to Yamato: Fushigi na Nichiyoubi,5.75,150,11602,17951,504,1,
4393,Cosmic Fantasy: Ginga Mehyou no Wana,5.42,820,12909,12781,1780,0,"Action, Comedy, Fantasy, Romance, Sci-Fi"
4394,Tsuyoshi Shikkari Shinasai,6.87,1248,5137,10432,3537,9,"Comedy, Drama, Romance"
4395,Samayou Midara na Lunatics,6.34,1572,,9531,4686,19,Hentai
4396,Midoriyama Koukou Koushien-hen,6.14,130,9536,15228,919,0,"Comedy, Sports"
4397,Tennis no Oujisama: Oshougatsu Special,6.78,3118,5657,8092,7148,6,Sports
4398,Sabu to Ichi Torimono Hikae,6.56,722,6933,10643,3333,12,"Action, Adventure, Drama, Mystery"
4399,Hottarake no Shima: Haruka to Mahou no Kagami,7.3,4592,2958,7053,10149,19,Fantasy
4400,Haruwo,4.29,499,14353,13340,1505,2,Action
4401,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.86,97039,966,1496,180184,301,"Adventure, Romance, Supernatural"
4402,Jewelpet,6.82,4646,5404,6040,14653,46,
4403,Kinpatsu no Jeanie,5.95,341,10527,13392,1486,0,Drama
4404,Megami Tantei Vinus File,5.2,390,,13212,1565,3,Hentai
4405,Kyoushoku Soukou Guyver (1989),7.08,6695,4165,5815,16201,130,"Action, Horror, Sci-Fi"
4406,Patchin shite! Obaachan,,,19473,19112,414,0,Drama
4407,Nogizaka Haruka no Himitsu Purezza ♪,7.16,41559,3703,2819,73804,96,"Comedy, Romance"
4408,Chi's Sweet Home: Atarashii Ouchi,7.71,12988,1318,4389,32123,114,Slice of Life
4409,Battle Can²,4.5,579,,13121,1606,0,"Action, Sci-Fi, Hentai"
4410,Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou,6.3,906,8555,12035,2251,1,"Comedy, Sci-Fi"
4411,Needless,7.2,63364,3499,1752,147594,539,"Action, Comedy, Sci-Fi, Ecchi"
4412,Osu!! Karate-bu,6.63,992,6554,11318,2745,5,Action
4413,Aquarion Movie: Ippatsu Gyakuten-hen,6.7,2402,6074,8137,7033,4,"Drama, Fantasy"
4414,Dragon Ball Kai,7.78,261172,1150,612,425114,3909,"Action, Adventure, Comedy, Fantasy"
4415,Transformers Zone,5.75,1003,11604,11590,2546,2,Sci-Fi
4416,Honoo no Haramase Doukyuusei,6.63,2963,,7315,9221,19,Hentai
4417,Kimi ni Todoke,8.01,510852,685,171,1049366,15323,"Drama, Romance"
4418,Tales of Vesperia: The First Strike,7.55,22813,1841,3468,50739,139,"Action, Adventure, Fantasy"
4419,Mahou Sensei Negima!: Mou Hitotsu no Sekai,7.54,9404,1886,4808,26205,35,"Action, Adventure, Supernatural, Ecchi"
4420,F,6.77,1223,5692,9587,4595,15,
4421,Sasuke,6.71,830,6032,11085,2940,6,Action
4422,1-gatsu ni wa Christmas,5.44,1124,12820,11659,2492,3,"Drama, Romance"
4423,Maryuu Senki,5.18,1510,13538,9330,4982,8,"Fantasy, Horror"
4424,Duel Masters Movie 2: Lunatic God Saga,5.85,344,11089,13971,1277,0,"Action, Adventure, Comedy"
4425,Penguin no Mondai Movie,,,19491,19713,367,0,Comedy
4426,Higurashi no Naku Koro ni Kai Specials,7.14,20937,3845,3432,51805,123,Comedy
4427,Lemon Angel YJ-ban,5.55,596,12482,13449,1459,0,Romance
4428,Moeru! Oniisan,6.45,766,7660,11871,2351,3,"Action, Adventure, Comedy"
4429,Sensei no Ojikan: Dokidoki School Hours OVA,6.54,1022,7051,11479,2627,2,Comedy
4430,Gregory Horror Show,6.64,1872,6466,9324,5006,75,"Comedy, Horror, Mystery, Supernatural"
4431,11-piki no Neko,5.86,535,11055,13775,1337,5,Fantasy
4432,11-piki no Neko to Ahoudori,5.87,158,10991,15084,957,2,"Adventure, Fantasy"
4433,21 Emon Uchuu e Irasshai!,5.69,399,11910,14329,1164,1,"Comedy, Sci-Fi"
4434,21 Emon Uchuu ike! Hadashi no Princess,6.16,454,9412,14131,1226,3,"Comedy, Sci-Fi"
4435,Ai no Wakakusa Yama Monogatari,5.73,481,11681,12984,1671,0,Comedy
4436,"""Eiji""",5.63,1995,12162,9651,4508,5,"Comedy, Drama, Sports"
4437,Akubi Girl,5.64,302,12113,14387,1151,0,"Comedy, Fantasy"
4438,Al Caral no Isan,5.37,759,13059,12473,1983,0,Sci-Fi
4439,Jetter Mars,6.24,866,8914,12178,2153,5,"Action, Drama, Sci-Fi"
4440,Hon Ran,5,954,13823,11770,2426,0,Action
4441,Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose,5.41,266,12935,15066,963,0,"Action, Mystery"
4442,Anmitsu Hime,6.61,764,6681,12121,2192,3,Comedy
4443,A Piece of Phantasmagoria,6.21,1609,9046,8891,5700,29,Fantasy
4444,Azuki-chan the Movie,6.15,447,9436,13959,1282,0,"Comedy, Romance"
4445,Bad Boys,6.46,977,7563,10198,3828,8,"Action, Comedy"
4446,Heisei Harenchi Gakuen,5.18,617,,12237,2117,3,"Comedy, Hentai"
4447,Sora no Manimani,7.04,18413,4333,3532,48882,69,"Comedy, Romance"
4448,Aruhi no Clamp Gakuen Tanteidan,5.9,454,10831,13198,1571,1,"Comedy, Mystery"
4449,Shin Koihime†Musou,6.77,12928,5688,4290,33989,38,"Action, Adventure, Comedy, Ecchi"
4450,Rainbow: Nisha Rokubou no Shichinin,8.46,165413,170,618,419884,8631,"Drama, Suspense"
4451,Lupin III vs. Meitantei Conan,7.75,20393,1207,4029,38640,47,"Action, Adventure, Comedy, Mystery"
4452,Mainichi Kaasan,7.19,1083,3578,10429,3538,24,Comedy
4453,Gokujou!! Mecha Mote Iinchou,6.35,2824,8259,7308,9241,20,"Comedy, Romance"
4454,Cookin' Idol Ai! Mai! Main!,6.27,761,8724,10902,3097,9,"Comedy, Gourmet"
4455,Mitama: Nin,5.67,1277,,9855,4250,12,Hentai
4456,Jinkou Shoujo: Henshin Sex Android,6.64,3037,,7973,7457,29,Hentai
4457,Toshishun,5.56,155,12454,17792,520,1,"Adventure, Drama, Fantasy"
4458,Toradora!: SOS! Kuishinbou Banbanzai,6.42,56002,7813,2152,113110,85,"Comedy, Gourmet"
4459,Umi Monogatari: Anata ga Ite Kureta Koto,6.59,7839,6769,4469,30883,33,"Drama, Fantasy, Romance"
